City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
564,Grand Gaube,MU,81.0,few clouds,-20.0064,57.6608,
567,San Pedro,PH,84.99,scattered clouds,14.35,121.0167,
568,Dhidhdhoo,MV,81.88,overcast clouds,6.8833,73.1,
569,Port Macquarie,AU,84.99,clear sky,-31.4333,152.9167,
571,Neiafu,TO,82.4,broken clouds,-18.65,-173.9833,
572,Grand-Lahou,CI,78.66,clear sky,5.1367,-5.0242,
575,Pusad,IN,73.62,clear sky,19.9,77.5833,
578,Kapoeta,SS,81.07,overcast clouds,4.7717,33.5903,
582,Feijo,BR,70.14,overcast clouds,-8.1642,-70.3536,
590,Cap Malheureux,MU,81.0,few clouds,-19.9842,57.6142,
591,Pagudpud,PH,80.6,broken clouds,18.5616,120.7868,
597,Mareeba,AU,90.0,overcast clouds,-17.0,145.4333,
599,Isla Mujeres,MX,75.99,few clouds,21.2311,-86.73100000000001,
602,Pangai,TO,82.4,light rain,-19.8,-174.35,
606,Takoradi,GH,78.13,few clouds,4.8845,-1.7554,
609,Tiarei,PF,86.0,broken clouds,-17.5333,-149.3333,
616,Vanimo,PG,78.24,light rain,-2.6741,141.3028,
617,Bundaberg,AU,84.0,broken clouds,-24.85,152.35,
619,Wattegama,LK,82.4,few clouds,6.7989,81.4808,
622,Sur,OM,74.89,clear sky,22.5667,59.5289,
623,Mahbubabad,IN,77.68,clear sky,17.6167,80.0167,
625,Cockburn Town,TC,75.74,broken clouds,21.4612,-71.1419,
629,Camopi,GF,71.22,light rain,3.1655,-52.3158,
633,Thayetmyo,MM,83.53,clear sky,19.3167,95.1833,
635,Singkang,MY,82.4,few clouds,2.1006,102.7994,
640,Ahuimanu,US,80.6,scattered clouds,21.4447,-157.8378,
641,Indiaroba,BR,75.34,overcast clouds,-11.5192,-37.5117,
644,Xai-Xai,MZ,77.36,clear sky,-25.0519,33.6442,
650,Mildura,AU,80.6,light rain,-34.2,142.15,
653,Pangkalanbuun,ID,85.21,light rain,-2.6833,111.6167,
657,Bawku,GH,70.07,broken clouds,11.0616,-0.2417,
659,Maitum,PH,84.2,broken clouds,6.0392,124.4986,
664,Road Town,VG,78.01,clear sky,18.4167,-64.6167,
668,Gizo,SB,86.13,moderate rain,-8.103,156.8419,
669,Singkawang,ID,83.23,light rain,0.9,109.0,
670,The Valley,AI,78.8,few clouds,18.217,-63.0578,
672,High Rock,BS,71.6,few clouds,26.6208,-78.2833,
673,Matara,LK,81.75,broken clouds,5.9485,80.5353,
674,Manokwari,ID,82.44,light rain,-0.8667,134.0833,
