City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
101,Rawson,AR,-43.3002,-65.1023,70.38,42,5,23.29,clear sky,2021-02-01 03:36:18
102,Katsuura,JP,35.1333,140.3,52.0,56,75,5.75,broken clouds,2021-02-01 03:37:42
103,Hualmay,PE,-11.0964,-77.6139,69.98,82,99,9.42,overcast clouds,2021-02-01 03:40:54
104,Fortuna,US,40.5982,-124.1573,55.0,94,90,21.85,overcast clouds,2021-02-01 03:39:33
105,Cidreira,BR,-30.1811,-50.2056,73.31,93,100,6.71,overcast clouds,2021-02-01 03:40:54
106,Santa Ines,BR,-3.6667,-45.38,74.86,97,100,3.04,light rain,2021-02-01 03:40:54
107,Shush,IR,32.1942,48.2436,51.55,46,0,6.38,clear sky,2021-02-01 03:40:54
108,Jieshi,CN,22.8134,115.8257,71.01,72,49,4.76,scattered clouds,2021-02-01 03:40:54
109,Nanortalik,GL,60.1432,-45.2371,32.49,90,100,6.33,overcast clouds,2021-02-01 03:40:54
110,Marzuq,YE,14.4,46.4667,56.93,42,11,1.68,few clouds,2021-02-01 03:39:32
111,Lavrentiya,RU,65.5833,-171.0,-6.83,86,100,18.3,overcast clouds,2021-02-01 03:39:59
112,Moerai,PF,-22.4333,-151.3333,78.78,70,100,8.16,overcast clouds,2021-02-01 03:40:55
113,Xuddur,SO,4.1213,43.8894,64.02,84,0,16.26,clear sky,2021-02-01 03:40:55
114,Mukhen,RU,48.1,136.1,-0.53,91,100,6.38,light snow,2021-02-01 03:40:55
115,Port Alfred,ZA,-33.5906,26.891,66.99,85,89,5.99,overcast clouds,2021-02-01 03:39:29
116,Provideniya,RU,64.3833,-173.3,-1.25,90,100,25.43,light snow,2021-02-01 03:40:00
117,Dunedin,NZ,-45.8742,170.5036,66.99,57,43,15.99,scattered clouds,2021-02-01 03:39:54
118,Saldanha,ZA,-33.0117,17.9442,63.23,77,24,20.87,few clouds,2021-02-01 03:39:31
119,San Andres,CO,12.5847,-81.7006,80.6,78,40,13.8,scattered clouds,2021-02-01 03:40:56
120,Bezhetsk,RU,57.7851,36.6965,21.29,97,76,11.43,broken clouds,2021-02-01 03:40:56
121,Port Elizabeth,ZA,-33.918,25.5701,66.2,77,40,16.11,scattered clouds,2021-02-01 03:39:57
122,Ville-Marie,CA,47.3335,-79.433,-5.8,84,1,5.75,clear sky,2021-02-01 03:40:56
123,Faanui,PF,-16.4833,-151.75,80.6,76,61,11.01,light rain,2021-02-01 03:39:44
124,Qaanaaq,GL,77.484,-69.3632,-4.47,88,100,1.86,overcast clouds,2021-02-01 03:39:40
125,Savannah Bight,HN,16.45,-85.85,77.0,93,1,13.69,clear sky,2021-02-01 03:40:57
126,Luderitz,NA,-26.6481,15.1594,65.26,79,0,17.58,clear sky,2021-02-01 03:40:57
127,Bontang,ID,0.1333,117.5,83.43,67,100,8.63,overcast clouds,2021-02-01 03:40:57
128,Bairiki,KI,1.3292,172.9752,86.0,70,20,11.5,few clouds,2021-02-01 03:40:57
129,Mana,GF,5.6592,-53.7767,77.13,81,98,12.88,overcast clouds,2021-02-01 03:40:58
130,Luwingu,ZM,-10.2621,29.9271,63.46,94,100,4.47,light rain,2021-02-01 03:40:58
131,Chikwawa,MW,-16.0335,34.8009,75.52,84,99,2.59,overcast clouds,2021-02-01 03:40:58
132,Kapit,MY,2.0167,112.9333,84.42,79,100,0.94,overcast clouds,2021-02-01 03:40:58
133,Avera,US,33.194,-82.5271,46.4,94,90,6.67,mist,2021-02-01 03:40:20
134,Ancud,CL,-41.8697,-73.8203,54.0,87,0,5.75,clear sky,2021-02-01 03:39:47
135,Kavieng,PG,-2.5744,150.7967,84.42,78,100,15.14,overcast clouds,2021-02-01 03:39:47
136,Bilibino,RU,68.0546,166.4372,-5.06,85,100,12.06,overcast clouds,2021-02-01 03:40:59
137,Castro,BR,-24.7911,-50.0119,62.62,94,78,2.28,broken clouds,2021-02-01 03:39:29
138,Picsi,PE,-6.7178,-79.7697,73.47,66,21,9.31,few clouds,2021-02-01 03:40:59
