City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,Santa Isabel Do Rio Negro,-0.4139,-65.0192,73.11,94,26,1.25,BR,2021-01-31 05:28:22
304,Slave Lake,55.2834,-114.769,3.2,85,1,8.05,CA,2021-01-31 05:28:22
305,Lesosibirsk,58.2358,92.4828,-29.31,80,0,4.72,RU,2021-01-31 05:28:23
306,Marsa Matruh,31.3525,27.2453,57.2,62,0,16.11,EG,2021-01-31 05:28:23
307,Tolga,34.7222,5.3785,62.6,39,100,20.71,DZ,2021-01-31 05:28:23
308,Murbad,19.25,73.4,82.4,32,0,6.91,IN,2021-01-31 05:25:25
309,Souillac,-20.5167,57.5167,84.2,70,40,10.36,MU,2021-01-31 05:24:36
310,Marzuq,14.4,46.4667,66.85,45,0,3.27,YE,2021-01-31 05:28:23
311,Broken Hill,-31.95,141.4333,89.6,23,29,10.36,AU,2021-01-31 05:28:23
312,Grindavik,63.8424,-22.4338,23.0,74,75,3.44,IS,2021-01-31 05:24:50
313,Lagoa,39.05,-27.9833,61.57,96,73,23.26,PT,2021-01-31 05:25:02
314,Luanda,-8.8368,13.2343,78.8,83,75,6.91,AO,2021-01-31 05:23:31
315,Zheshart,62.0731,49.5733,18.72,96,99,8.5,RU,2021-01-31 05:28:24
316,Victoria,22.2855,114.1577,73.4,43,0,11.5,HK,2021-01-31 05:23:58
317,Elk,53.8282,22.3647,22.8,97,98,11.65,PL,2021-01-31 05:28:24
318,Clyde River,70.4692,-68.5914,-4.0,77,90,1.5,CA,2021-01-31 05:26:24
319,Leningradskiy,69.3833,178.4167,-26.99,82,12,4.23,RU,2021-01-31 05:25:28
320,Wanning,18.8003,110.3967,73.81,68,47,12.33,CN,2021-01-31 05:25:00
321,Vanderhoof,54.0166,-124.0198,13.8,96,92,2.19,CA,2021-01-31 05:28:24
322,Staraya Kulatka,52.7167,47.6167,21.0,96,100,8.48,RU,2021-01-31 05:28:24
323,Makhinjauri,41.6739,41.694,53.6,40,75,17.27,GE,2021-01-31 05:28:24
324,Bhind,26.5642,78.7883,65.35,29,0,3.15,IN,2021-01-31 05:28:25
325,Kazanskoye,55.6448,69.235,12.24,95,98,6.62,RU,2021-01-31 05:28:25
326,Halifax,44.6453,-63.5724,17.6,67,40,8.05,CA,2021-01-31 05:27:59
327,Viedma,-40.8135,-62.9967,57.16,64,9,7.0,AR,2021-01-31 05:26:36
328,Pimentel,-6.8367,-79.9342,72.19,75,85,13.02,PE,2021-01-31 05:27:57
329,Marienburg,54.0359,19.0266,26.6,86,40,16.11,PL,2021-01-31 05:28:25
330,Port Hardy,50.6996,-127.4199,44.6,87,90,14.97,CA,2021-01-31 05:28:25
331,Te Anau,-45.4167,167.7167,63.05,52,84,6.87,NZ,2021-01-31 05:28:25
332,Aksha,50.2814,113.2867,-1.89,85,100,3.49,RU,2021-01-31 05:28:25
333,Lang Son,21.8333,106.7333,71.67,57,81,8.95,VN,2021-01-31 05:28:26
334,Rawson,-43.3002,-65.1023,61.38,58,44,14.09,AR,2021-01-31 05:20:48
335,Vila Franca Do Campo,37.7167,-25.4333,63.0,94,75,11.5,PT,2021-01-31 05:26:37
336,Izyaslav,50.1195,26.8213,22.12,97,98,10.31,UA,2021-01-31 05:28:26
337,Tucurui,-3.7661,-49.6725,72.93,95,97,1.86,BR,2021-01-31 05:28:26
338,Plettenberg Bay,-34.0527,23.3716,68.0,67,0,3.18,ZA,2021-01-31 05:25:42
339,Tarauaca,-8.1614,-70.7656,72.32,96,100,0.56,BR,2021-01-31 05:28:26
340,Santa Fe,-31.6333,-60.7,64.99,86,91,5.99,AR,2021-01-31 05:28:26
341,Turukhansk,65.8167,87.9833,-25.4,80,56,5.88,RU,2021-01-31 05:28:26
342,Solnechnyy,50.7214,136.6319,-6.5,86,70,5.32,RU,2021-01-31 05:28:26
343,Chibombo,-14.6569,28.0706,65.32,95,100,3.94,ZM,2021-01-31 05:28:27
344,Ascension,30.2169,-90.9001,69.8,73,90,11.5,US,2021-01-31 05:28:27
345,Ucluelet,48.9329,-125.5528,46.0,91,100,7.0,CA,2021-01-31 05:22:28
346,Kavieng,-2.5744,150.7967,83.59,73,99,12.68,PG,2021-01-31 05:25:21
347,Port-Cartier,50.0334,-66.8654,21.2,63,53,5.75,CA,2021-01-31 05:25:53
348,Gizo,-8.103,156.8419,86.22,69,60,21.79,SB,2021-01-31 05:28:27
349,Nikolskoye,59.7035,30.7861,24.8,86,75,4.47,RU,2021-01-31 05:24:41
350,Puri,19.8,85.85,73.4,49,0,6.91,IN,2021-01-31 05:28:27
351,Bereznik,62.8551,42.7072,14.13,96,98,7.74,RU,2021-01-31 05:28:27
352,Smithers,54.7804,-127.1743,19.4,86,90,1.59,CA,2021-01-31 05:28:28
353,Gerash,27.6652,54.1371,55.56,72,0,3.31,IR,2021-01-31 05:28:28
354,Gravdal,68.1214,13.5031,25.59,90,75,4.97,NO,2021-01-31 05:28:28
355,Touros,-5.1989,-35.4608,75.2,94,75,3.44,BR,2021-01-31 05:28:28
356,Merauke,-8.4667,140.3333,84.15,77,100,15.75,ID,2021-01-31 05:25:06
357,Mareeba,-17.0,145.4333,86.0,66,40,13.8,AU,2021-01-31 05:28:28
358,Malpe,13.35,74.7167,84.2,61,0,3.44,IN,2021-01-31 05:28:28
359,Bud,39.447,-86.1758,33.01,97,100,19.13,US,2021-01-31 05:28:29
360,Maragogi,-9.0122,-35.2225,77.0,82,100,6.6,BR,2021-01-31 05:28:29
361,Hamilton,39.1834,-84.5333,34.0,93,90,5.75,US,2021-01-31 05:27:11
362,Yenagoa,4.9247,6.2642,76.62,91,0,2.28,NG,2021-01-31 05:24:51
